N: 10
J1/J2 START: 0.8
J1/J2 END: 1.4
datapoints: 50000
caculation time with 16 threads: 5485.58 seconds

J1/J2	Delta E in J2
0.803756	0.126574
0.803768	0.126565
0.80378	0.126556
0.803792	0.126547
0.803804	0.126538
0.803816	0.126529
0.803828	0.12652
0.80384	0.126511
0.803852	0.126502
0.803864	0.126493
0.803876	0.126484
0.803888	0.126475
0.8039	0.126466
0.803912	0.126457
0.803924	0.126448
0.803936	0.126439
0.803948	0.12643
0.80396	0.126421
0.803972	0.126412
0.803984	0.126403
0.803996	0.126394
0.804008	0.126385
0.80402	0.126376
0.804032	0.126367
0.804044	0.126358
0.804056	0.12635
0.804068	0.126341
0.80408	0.126332
0.804092	0.126323
0.804104	0.126314
0.804116	0.126305
0.804128	0.126296
0.80414	0.126287
0.804152	0.126278
0.804164	0.126269
0.804176	0.12626
0.804188	0.126251
0.8042	0.126242
0.804212	0.126233
0.804224	0.126224
0.804236	0.126215
0.804248	0.126206
0.80426	0.126197
0.804272	0.126188
0.804284	0.126179
0.804296	0.12617
0.804308	0.126161
0.80432	0.126152
0.804332	0.126143
0.804344	0.126134
0.804356	0.126126
0.804368	0.126117
0.80438	0.126108
0.804392	0.126099
0.804404	0.12609
0.804416	0.126081
0.804428	0.126072
0.80444	0.126063
0.804452	0.126054
0.804464	0.126045
0.804476	0.126036
0.804488	0.126027
0.8045	0.126018
0.804512	0.126009
0.804524	0.126
0.804536	0.125991
0.804548	0.125982
0.80456	0.125973
0.804572	0.125964
0.804584	0.125955
0.804596	0.125946
0.804608	0.125937
0.80462	0.125928
0.804632	0.125919
0.804644	0.125911
0.804656	0.125902
0.804668	0.125893
0.80468	0.125884
0.804692	0.125875
0.804704	0.125866
0.804716	0.125857
0.804728	0.125848
0.80474	0.125839
0.804752	0.12583
0.804764	0.125821
0.804776	0.125812
0.804788	0.125803
0.8048	0.125794
0.804812	0.125785
0.804824	0.125776
0.804836	0.125767
0.804848	0.125758
0.80486	0.125749
0.804872	0.12574
0.804884	0.125731
0.804896	0.125722
0.804908	0.125713
0.80492	0.125705
0.804932	0.125696
0.804944	0.125687
0.804956	0.125678
0.804968	0.125669
0.80498	0.12566
0.804992	0.125651
0.805004	0.125642
0.805016	0.125633
0.805028	0.125624
0.80504	0.125615
0.805052	0.125606
0.805064	0.125597
0.805076	0.125588
0.805088	0.125579
0.8051	0.12557
0.805112	0.125561
0.805124	0.125552
0.805136	0.125543
0.805148	0.125534
0.80516	0.125525
0.805172	0.125516
0.805184	0.125508
0.805196	0.125499
0.805208	0.12549
0.80522	0.125481
0.805232	0.125472
0.805244	0.125463
0.805256	0.125454
0.805268	0.125445
0.80528	0.125436
0.805292	0.125427
0.805304	0.125418
0.805316	0.125409
0.805328	0.1254
0.80534	0.125391
0.805352	0.125382
0.805364	0.125373
0.805376	0.125364
0.805388	0.125355
0.8054	0.125346
0.805412	0.125337
0.805424	0.125328
0.805436	0.12532
0.805448	0.125311
0.80546	0.125302
0.805472	0.125293
0.805484	0.125284
0.805496	0.125275
0.805508	0.125266
0.80552	0.125257
0.805532	0.125248
0.805544	0.125239
0.805556	0.12523
0.805568	0.125221
0.80558	0.125212
0.805592	0.125203
0.805604	0.125194
0.805616	0.125185
0.805628	0.125176
0.80564	0.125167
0.805652	0.125158
0.805664	0.125149
0.805676	0.12514
0.805688	0.125132
0.8057	0.125123
0.805712	0.125114
0.805724	0.125105
0.805736	0.125096
0.805748	0.125087
0.80576	0.125078
0.805772	0.125069
0.805784	0.12506
0.805796	0.125051
0.805808	0.125042
0.80582	0.125033
0.805832	0.125024
0.805844	0.125015
0.805856	0.125006
0.805868	0.124997
0.80588	0.124988
0.805892	0.124979
0.805904	0.12497
0.805916	0.124961
0.805928	0.124953
0.80594	0.124944
0.805952	0.124935
0.805964	0.124926
0.805976	0.124917
0.805988	0.124908
0.806	0.124899
0.806012	0.12489
0.806024	0.124881
0.806036	0.124872
0.806048	0.124863
0.80606	0.124854
0.806072	0.124845
0.806084	0.124836
0.806096	0.124827
0.806108	0.124818
0.80612	0.124809
0.806132	0.1248
0.806144	0.124791
0.806156	0.124783
0.806168	0.124774
0.80618	0.124765
0.806192	0.124756
0.806204	0.124747
0.806216	0.124738
0.806228	0.124729
0.80624	0.12472
0.806252	0.124711
0.806264	0.124702
0.806276	0.124693
0.806288	0.124684
0.8063	0.124675
0.806312	0.124666
0.806324	0.124657
0.806336	0.124648
0.806348	0.124639
0.80636	0.12463
0.806372	0.124621
0.806384	0.124613
0.806396	0.124604
0.806408	0.124595
0.80642	0.124586
0.806432	0.124577
0.806444	0.124568
0.806456	0.124559
0.806468	0.12455
0.80648	0.124541
0.806492	0.124532
0.806504	0.124523
0.806516	0.124514
0.806528	0.124505
0.80654	0.124496
0.806552	0.124487
0.806564	0.124478
0.806576	0.124469
0.806588	0.12446
0.8066	0.124452
0.806612	0.124443
0.806624	0.124434
0.806636	0.124425
0.806648	0.124416
0.80666	0.124407
0.806672	0.124398
0.806684	0.124389
0.806696	0.12438
0.806708	0.124371
0.80672	0.124362
0.806732	0.124353
0.806744	0.124344
0.806756	0.124335
0.806768	0.124326
0.80678	0.124317
0.806792	0.124308
0.806804	0.124299
0.806816	0.124291
0.806828	0.124282
0.80684	0.124273
0.806852	0.124264
0.806864	0.124255
0.806876	0.124246
0.806888	0.124237
0.8069	0.124228
0.806912	0.124219
0.806924	0.12421
0.806936	0.124201
0.806948	0.124192
0.80696	0.124183
0.806972	0.124174
0.806984	0.124165
0.806996	0.124156
0.807008	0.124147
0.80702	0.124139
0.807032	0.12413
0.807044	0.124121
0.807056	0.124112
0.807068	0.124103
0.80708	0.124094
0.807092	0.124085
0.807104	0.124076
0.807116	0.124067
0.807128	0.124058
0.80714	0.124049
0.807152	0.12404
0.807164	0.124031
0.807176	0.124022
0.807188	0.124013
0.8072	0.124004
0.807212	0.123995
0.807224	0.123987
0.807236	0.123978
0.807248	0.123969
0.80726	0.12396
0.807272	0.123951
0.807284	0.123942
0.807296	0.123933
0.807308	0.123924
0.80732	0.123915
0.807332	0.123906
0.807344	0.123897
0.807356	0.123888
0.807368	0.123879
0.80738	0.12387
0.807392	0.123861
0.807404	0.123852
0.807416	0.123843
0.807428	0.123835
0.80744	0.123826
0.807452	0.123817
0.807464	0.123808
0.807476	0.123799
0.807488	0.12379
0.8075	0.123781
0.807512	0.123772
0.807524	0.123763
0.807536	0.123754
0.807548	0.123745
0.80756	0.123736
0.807572	0.123727
0.807584	0.123718
0.807596	0.123709
0.807608	0.1237
0.80762	0.123692
0.807632	0.123683
0.807644	0.123674
0.807656	0.123665
0.807668	0.123656
0.80768	0.123647
0.807692	0.123638
0.807704	0.123629
0.807716	0.12362
0.807728	0.123611
0.80774	0.123602
0.807752	0.123593
0.807764	0.123584
0.807776	0.123575
0.807788	0.123566
0.8078	0.123557
0.807812	0.123549
0.807824	0.12354
0.807836	0.123531
0.807848	0.123522
0.80786	0.123513
0.807872	0.123504
0.807884	0.123495
0.807896	0.123486
0.807908	0.123477
0.80792	0.123468
0.807932	0.123459
0.807944	0.12345
0.807956	0.123441
0.807968	0.123432
0.80798	0.123423
0.807992	0.123414
0.808004	0.123406
0.808016	0.123397
0.808028	0.123388
0.80804	0.123379
0.808052	0.12337
0.808064	0.123361
0.808076	0.123352
0.808088	0.123343
0.8081	0.123334
